Facility_ID,Facility_Name,Tele_EDcalls2014,Tele_EDcalls2015,Tele_EDcalls2016,Tele_EDcalls2017,Tele_EDcalls2018,Address,City,State,ZIP_Code,Phone_Number,Hospital_Type,Hospital_Ownership,MCRNUM,DSHOSPID,HOSPID,County_Name,HFIPSSTCO,AHAnum
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,,,,,,2500 N STATE ST,JACKSON,MS,39216,(601) 984-4100,Acute Care Hospitals,Government - State,250001,6540004,28045,HINDS,28049,6540004
250002,TISHOMINGO HEALTH SERVICES INC,,,,,,1777 CURTIS DRIVE,IUKA,MS,38852,(662) 423-6051,Acute Care Hospitals,Voluntary non-profit - Private,250002,6540359,28116,TISHOMINGO,28141,6540359
250004,NORTH MISSISSIPPI MEDICAL CENTER,,,,,,830 S GLOSTER STREET,TUPELO,MS,38801,(662) 377-6608,Acute Care Hospitals,Voluntary non-profit - Private,250004,6540810,28009,LEE,28081,6540810
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,,,,,,200 HWY 30 WEST,NEW ALBANY,MS,38652,(662) 538-7631,Acute Care Hospitals,Voluntary non-profit - Other,250006,6540657,28046,UNION,28145,6540657
250007,MERIT HEALTH BILOXI,,,,,,150 REYNOIR STREET,BILOXI,MS,39530,(228) 436-1104,Acute Care Hospitals,Proprietary,250007,6540049,28087,HARRISON,28047,6540049
250009,MAGNOLIA REGIONAL HEALTH CENTER,,,,,,611 ALCORN DRIVE,CORINTH,MS,38834,(662) 293-1000,Acute Care Hospitals,Voluntary non-profit - Other,250009,6540206,28029,ALCORN,28003,6540206
250010,Tippah County Hospital,,,,,,1005 City Avenue North,Ripley,MS,38663,662-837-9221,Acute Care Hospitals,,250010,6540755,28080,TIPPAH,28139,6540755
250012,ALLIANCE HEALTHCARE SYSTEM,,,,,,1430 HIGHWAY 4 EAST / P O BOX 60,HOLLY SPRING,MS,38635,(662) 252-1212,Acute Care Hospitals,Physician,250012,6540335,28129,MARSHALL,28093,6540335
250017,TRACE REGIONAL HOSP AND SWING BED,,,,,,1002 EAST MADISON STREET,HOUSTON,MS,38851,(662) 456-3700,Acute Care Hospitals,Proprietary,250017,6540340,28104,CHICKASAW,28017,6540340
250018,JASPER GENERAL HOSPITAL,,,,,,15 SOUTH 6TH STREET,BAY SPRINGS,MS,39422,(601) 764-2101,Acute Care Hospitals,Government - Local,250018,6540036,28099,JASPER,28061,6540036
250019,MEMORIAL HOSPITAL AT GULFPORT,,,,,,4500 13TH STREET,GULFPORT,MS,39502,(228) 867-4000,Acute Care Hospitals,Government - Local,250019,6540300,28043,HARRISON,28047,6540300
250020,WEBSTER GENERAL HOSPITAL/ SWING BED,,,,,,70 MEDICAL PLAZA,EUPORA,MS,39744,(662) 258-6221,Acute Care Hospitals,Voluntary non-profit - Other,250020,6549040,28074,WEBSTER,28155,6549040
250025,NORTH MISSISSIPPI MEDICAL CENTER-GILMORE AMORY,,,,,,1105 EARL FRYE BLVD,AMORY,MS,38821,(662) 256-7111,Acute Care Hospitals,Proprietary,250025,6540020,28078,MONROE,28095,6540020
250027,WINSTON MEDICAL CENTER & SWINGBED,,,,,,17550 EAST MAIN STREET,LOUISVILLE,MS,39339,(662) 779-5124,Acute Care Hospitals,Proprietary,250027,6540455,28027,WINSTON,28159,6540455
250031,MERIT HEALTH RIVER REGION,,,,,,2100 HWY 61 N,VICKSBURG,MS,39183,(601) 883-5000,Acute Care Hospitals,Proprietary,250031,6540019,28017,WARREN,28149,6540019
250034,BAPTIST MEMORIAL HOSPITAL NORTH MS,,,,,,1100 BELK BLVD,OXFORD,MS,38655,(662) 232-8100,Acute Care Hospitals,Voluntary non-profit - Private,250034,6540693,28094,LAFAYETTE,28071,6540693
250036,GEORGE REGIONAL HEALTH SYSTEM,,,,,,859 WINTER STREET,LUCEDALE,MS,39452,(601) 947-3161,Acute Care Hospitals,Government - Local,250036,6540457,28076,GEORGE,28039,6540457
250038,MERIT HEALTH MADISON,,,,,,161 RIVER OAKS DRIVE,CANTON,MS,39046,(601) 855-4000,Acute Care Hospitals,Proprietary,250038,6540120,28102,MADISON,28089,6540120
250040,SINGING RIVER HEALTH SYSTEM,,,,,,2809 DENNY AV,PASCAGOULA,MS,39581,(228) 809-5000,Acute Care Hospitals,Government - Local,250040,2233445,28010,JACKSON,28059,6540021
250042,NORTHWEST MISSISSIPPI MEDICAL CENTER,,,,,,1970 HOSPITAL DRIVE,CLARKSDALE,MS,38614,(662) 624-3401,Acute Care Hospitals,Proprietary,250042,6540156,28042,COAHOMA,28027,6540156
250043,NESHOBA COUNTY GENERAL HOSPITAL,,,,,,1001 HOLLAND AVENUE,PHILADELPHIA,MS,39350,(601) 663-1200,Acute Care Hospitals,Government - Local,250043,6549165,28038,NESHOBA,28099,6549165
250044,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,,,,,,100 HOSPITAL DRIVE,BOONEVILLE,MS,38829,(662) 720-5000,Acute Care Hospitals,Voluntary non-profit - Church,250044,6540080,28044,PRENTISS,28117,6540080
250048,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,,,,,,969 LAKELAND DR,JACKSON,MS,39216,(601) 200-2000,Acute Care Hospitals,Voluntary non-profit - Church,250048,6540390,28011,HINDS,28049,6540390
250049,BEACHAM MEMORIAL HOSPITAL,,,,,,205 N CHERRY STREET,MAGNOLIA,MS,39652,(601) 783-2353,Acute Care Hospitals,Proprietary,250049,6540475,28019,PIKE,28113,6540475
250050,OCH REGIONAL MEDICAL CENTER,,,,,,400 HOSPITAL ROAD /MAIL PO BOX 1,STARKVILLE,MS,39759,(662) 323-4320,Acute Care Hospitals,Government - Local,250050,6540785,28049,OKTIBBEHA,28105,6540785
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,,,,,,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,(601) 833-6011,Acute Care Hospitals,Voluntary non-profit - Other,250057,6540110,28101,LINCOLN,28085,6540110
250058,SOUTH CENTRAL REG MED CTR,,,,,,1220 JEFFERSON ST BOX 607,LAUREL,MS,39440,(601) 426-4000,Acute Care Hospitals,Government - Local,250058,6540215,28005,JONES,28067,6540215
250060,JEFFERSON COUNTY HOSPITAL,,,1,,,870 S MAIN,FAYETTE,MS,39069,(601) 786-3401,Acute Care Hospitals,Government - Local,250060,,,JEFFERSON,,
250061,YALOBUSHA GENERAL HOSPITAL,,,,,,630 SOUTH MAIN STREET,WATER VALLEY,MS,38965,(662) 473-1411,Acute Care Hospitals,Government - Local,250061,6540891,28059,YALOBUSHA,28161,6540891
250067,NORTH MISSISSIPPI MEDICAL CENTER-WEST POINT,,,,,,150 MEDICAL CENTER DRIVE,WEST POINT,MS,39773,(662) 495-2300,Acute Care Hospitals,Voluntary non-profit - Private,250067,6540905,28036,CLAY,28025,6540905
250069,RUSH FOUNDATION HOSPITAL,,,,,,1314 19TH AVE,MERIDIAN,MS,39301,(601) 483-0011,Acute Care Hospitals,Voluntary non-profit - Private,250069,6540580,28063,LAUDERDALE,28075,6540580
250072,MERIT HEALTH CENTRAL,,,,,,1850 CHADWICK DR,JACKSON,MS,39204,(601) 376-1000,Acute Care Hospitals,Proprietary,250072,6540365,28073,HINDS,28049,6540365
250077,WAYNE GENERAL HOSPITAL,,,,,,950 MATTHEW DR,WAYNESBORO,MS,39367,(601) 735-5151,Acute Care Hospitals,Government - Local,250077,,,WAYNE,,
250078,FORREST GENERAL HOSPITAL,,,,,,6051 US HIGHWAY 49,HATTIESBURG,MS,39404,(601) 288-7000,Acute Care Hospitals,Government - Local,250078,6540315,28096,FORREST,28035,6540315
250079,SHARKEY ISSAQUENA COMMUNITY HOSPITAL,,15,43,126,49,47 SOUTH FOURTH ST,ROLLING FORK,MS,39159,(662) 873-4395,Acute Care Hospitals,Government - Local,250079,,,SHARKEY,,
250081,ANDERSON RMC SOUTH,,,,,,1102 CONSTITUTION AVENUE,MERIDIAN,MS,39301,(601) 484-3590,Acute Care Hospitals,Proprietary,250081,6540575,28120,LAUDERDALE,28075,6540575
250082,DELTA REGIONAL MEDICAL CENTER,,,,,,1400 E UNION ST,GREENVILLE,MS,38704,(662) 378-3783,Acute Care Hospitals,Government - Local,250082,6540032,28075,WASHINGTON,28055,6540032
250084,MERIT HEALTH NATCHEZ,,,,,,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,(601) 443-2100,Acute Care Hospitals,Proprietary,250084,6540607,28053,ADAMS,28001,6540607
250085,MARION GENERAL HOSPITAL,,,,,,1560 SUMRALL RD,COLUMBIA,MS,39429,(601) 736-6303,Acute Care Hospitals,Voluntary non-profit - Other,250085,6540170,28095,MARION,28091,6540170
250093,BOLIVAR MEDICAL CENTER,,,,,,901 E SUNFLOWER RD,CLEVELAND,MS,38732,(662) 846-0061,Acute Care Hospitals,Proprietary,250093,6540161,28047,BOLIVAR,28011,6540161
250094,MERIT HEALTH WESLEY,,,,,,5001 W HARDY ST,HATTIESBURG,MS,39402,(601) 268-8000,Acute Care Hospitals,Voluntary non-profit - Private,250094,6540320,28008,LAMAR,28073,6540320
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,,,,,152,121 E BAKER ST,INDIANOLA,MS,38751,(662) 887-5235,Acute Care Hospitals,Government - Local,250095,6540355,28062,SUNFLOWER,28133,6540355
250096,MERIT HEALTH RANKIN,,,,,,350 CROSSGATES BLVD,BRANDON,MS,39042,(601) 825-2811,Acute Care Hospitals,Proprietary,250096,6540100,28117,RANKIN,28121,6540100
250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,,,,,,215 MARION AV BOX 1307,MCCOMB,MS,39649,(601) 249-5500,Acute Care Hospitals,Government - Local,250097,6540501,28103,PIKE,28113,6540501
250099,GREENWOOD LEFLORE HOSPITAL,,,,,,1401 RIVER RD,GREENWOOD,MS,38935,(662) 459-7561,Acute Care Hospitals,Government - Local,250099,6540280,28006,LEFLORE,28083,6540280
250100,BAPTIST MEMORIAL HOSPITAL GOLDEN TRIANGLE INC,,,,,,2520 5TH STREET N,COLUMBUS,MS,39701,(662) 244-1500,Acute Care Hospitals,Voluntary non-profit - Private,250100,6540001,28052,LOWNDES,28087,6540001
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,,,,,,1225 N STATE ST,JACKSON,MS,39202,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private,250102,6540007,28050,HINDS,28049,6540007
250104,ANDERSON REGIONAL MEDICAL CTR,,,,,,2124 14 ST,MERIDIAN,MS,39301,(601) 553-6000,Acute Care Hospitals,Voluntary non-profit - Private,250104,6540510,28058,LAUDERDALE,28075,6540510
250117,HIGHLAND COMMUNITY  HOSPITAL,,,,,,130 HIGHLAND PKWY,PICAYUNE,MS,39466,(601) 358-9400,Acute Care Hospitals,Government - Hospital District or Authority,250117,6540730,28002,PEARL RIVER,28109,6540730
250123,GARDEN PARK MEDICAL CENTER,,,,,,15200 COMMUNITY ROAD,GULFPORT,MS,39503,(228) 575-7000,Acute Care Hospitals,Proprietary,250123,6540295,28066,HARRISON,28047,6540295
250124,MAGEE GENERAL HOSPITAL,,,,,158,300 3RD AVE SE,MAGEE,MS,39111,(601) 849-5070,Acute Care Hospitals,Government - Local,250124,6540470,28057,SIMPSON,28127,6540470
250126,NORTH OAK REGIONAL MEDICAL CENTER,,,,,,401 GETWELL DR,SENATOBIA,MS,38668,(662) 562-3100,Acute Care Hospitals,Proprietary,250126,6540790,28030,TATE,28137,6540790
250127,CHOCTAW HEALTH CENTER,,,,,,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,(601) 656-2211,Acute Care Hospitals,Government - Federal,250127,,,NESHOBA,,
250128,PANOLA MEDICAL CENTER,,,,,,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,(662) 563-5611,Acute Care Hospitals,Proprietary,250128,6540033,28082,PANOLA,28107,6549001
250136,MERIT HEALTH WOMEN'S HOSPITAL,,,,,,1026 RIVER OAKS DRIVE,FLOWOOD,MS,39232,(601) 932-1000,Acute Care Hospitals,Proprietary,250136,6540210,28031,RANKIN,28121,6540210
250138,MERIT HEALTH RIVER OAKS,,,,,,1030 RIVER OAKS DRIVE,FLOWOOD,MS,39232,(601) 932-1030,Acute Care Hospitals,Proprietary,250138,6540385,28065,RANKIN,28121,6540385
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,,,,,,7601 SOUTHCREST PARKWAY,SOUTHAVEN,MS,38671,(662) 772-4000,Acute Care Hospitals,Voluntary non-profit - Private,250141,6540950,28064,DE SOTO,28033,6540950
250151,ALLIANCE HEALTH CENTER,,,,,,5000 HIGHWAY 39 NORTH,MERIDIAN,MS,39301,(601) 483-6211,Acute Care Hospitals,Proprietary,250151,6540590,28069,LAUDERDALE,28075,6540590
250152,MISSISSIPPI METHODIST REHAB CTR,,,,,,1350 E WOODROW WILSON DR,JACKSON,MS,39216,(601) 981-2611,Acute Care Hospitals,Voluntary non-profit - Private,250152,6540371,28130,HINDS,28049,6540371
250162,OCHSNER MEDICAL CENTER-HANCOCK,,,,,,149 DRINKWATER BLVD,BAY SAINT LO,MS,39520,(228) 467-8600,Acute Care Hospitals,Government - Local,250162,6540037,28025,HANCOCK,28045,6540037
250167,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,,,,,,4250 BETHEL ROAD,OLIVE BRANCH,MS,38654,(662) 932-9000,Acute Care Hospitals,Voluntary non-profit - Private,250167,6540416,28125,DE SOTO,28033,6540416
250168,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GREN,,,,,,960 AVENT DRIVE,GRENADA,MS,38901,(662) 227-7000,Acute Care Hospitals,Government - State,250168,6540290,28013,GRENADA,28043,6540290
251300,S E LACKEY MEMORIAL HOSPITAL,,233,350,,379,330 N BROAD STREET,FOREST,MS,39074,(601) 469-4151,Critical Access Hosp,Voluntary non-profit - Private,251300,6540235,28022,SCOTT,28123,6540235
251302,MONROE REGIONAL HOSPITAL,,,,,,400 SOUTH CHESTNUT STREET,ABERDEEN,MS,39730,(662) 369-2455,Critical Access Hosp,Voluntary non-profit - Private,251302,6540010,28026,MONROE,28095,6540010
251303,STONE COUNTY HOSPITAL,,,,,,1434 EAST CENTRAL AVENUE,WIGGINS,MS,39577,(601) 928-6600,Critical Access Hosp,Proprietary,251303,6540005,28128,STONE,28131,6540005
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITAL,,23,24,21,27,201 SOUTH MARKET ST / PO BOX 230,CHARLESTON,MS,38921,(662) 647-5535,Critical Access Hosp,Government - Local,251304,6540135,28093,TALLAHATCHI,28135,6540135
251305,LAWRENCE COUNTY HOSPITAL CAH,,506,,470,395,1065 EAST BROAD ST,MONTICELLO,MS,39654,(601) 587-4051,Critical Access Hosp,Government - Local,251305,6540598,28020,LAWRENCE,28077,6540598
251306,PERRY COUNTY GENERAL HOSP,,403,135,70,95,206 BAY ST,RICHTON,MS,39476,(601) 788-6316,Critical Access Hosp,Proprietary,251306,6549175,28012,GREENE,28111,6549175
251307,NOXUBEE GENERAL CRITICAL ACCESS HOSP,,,,,,78 HOSPITAL ROAD,MACON,MS,39341,(662) 726-4231,Critical Access Hosp,Government - Local,251307,6540460,28023,NOXUBEE,28103,6540460
251308,PONTOTOC HEALTH SERVICE CAH,,,,,,176 SOUTH MAIN STREET,PONTOTOC,MS,38863,(662) 489-5510,Critical Access Hosp,Voluntary non-profit - Private,251308,6540740,28041,PONTOTOC,28115,6540740
251309,FIELD HEALTH SYSTEM,,,4,444,242,178 HIGHWAY 24,CENTREVILLE,MS,39631,(601) 890-0500,Critical Access Hosp,Government - Local,251309,6540130,28079,WILKINSON,28157,6540130
251312,TYLER HOLMES MEMORIAL HOSPITAL CAH,,,,,,409 TYLER HOLMES DRIVE,WINONA,MS,38967,(662) 283-4114,Critical Access Hosp,Voluntary non-profit - Private,251312,6540920,28115,MONTGOMERY,28097,6540920
251313,BAPTIST MEDICAL CENTER-YAZOO,,,,,,823 GRAND AVENUE,YAZOO CITY,MS,39194,(662) 746-2261,Critical Access Hosp,Voluntary non-profit - Private,251313,6540930,28100,YAZOO,28163,6540930
251314,QUITMAN COUNTY HOSPITAL CAH,,,93,50,103,340 GETWELL DRIVE,MARKS,MS,38646,(662) 326-8031,Critical Access Hosp,Proprietary,251314,6540480,28071,QUITMAN,,6540480
251315,BAPTIST MEDICAL CENTER-LEAKE,,,,,,1100 HIGHWAY 16 EAST,CARTHAGE,MS,39051,(601) 267-1422,Critical Access Hosp,Voluntary non-profit - Private,251315,6540123,28060,LEAKE,28079,6540123
251316,H C WATKINS MEMORIAL HOSPITAL INC,,,,,,605 SOUTH ARCHUSA AVENUE,QUITMAN,MS,39355,(601) 776-6925,Critical Access Hosp,Voluntary non-profit - Other,251316,6540754,28105,CLARKE,28023,6540754
251317,SIMPSON GENERAL HOSPITAL CAH,,111,173,221,170,1842 SIMPSON HIGHWAY 149,MENDENHALL,MS,39114,(601) 847-2221,Critical Access Hosp,Voluntary non-profit - Private,251317,,,SIMPSON,,
251318,NORTH SUNFLOWER MEDICAL CENTER CAH,,195,272,231,187,840 NORTH OAK AVENUE,RULEVILLE,MS,38771,(662) 756-2711,Critical Access Hosp,Government - Local,251318,6540775,28097,SUNFLOWER,28133,6540775
251319,HOLMES COUNTY HOSPITAL AND CLINICS,,319,203,211,205,239 BOWLING GREEN ROAD,LEXINGTON,MS,39095,(662) 834-1321,Critical Access Hosp,Government - State,251319,6540450,28055,HOLMES,28051,6540450
251320,CLAIBORNE COUNTY HOSPITAL,,,,,,123 MCCOMB AVENUE,PORT GIBSON,MS,39150,(601) 437-5141,Critical Access Hosp,Government - Local,251320,6540753,28131,CLAIBORNE,28021,6540753
251322,LAIRD HOSPITAL INC,,,,,,25117 HIGHWAY 15,UNION,MS,39365,(601) 774-8214,Critical Access Hosp,Voluntary non-profit - Private,251322,6540840,28112,NESHOBA,28099,6540840
251323,SCOTT REGIONAL HOSPITAL CAH,,,,107,88,317 HIGHWAY 13 SOUTH,MORTON,MS,39117,(601) 732-6301,Critical Access Hosp,Voluntary non-profit - Private,251323,6540014,28018,SCOTT,28123,6540014
251324,WALTHALL COUNTY GENERAL HOSPITAL CAH,,,,,,100 HOSPITAL DRIVE,TYLERTOWN,MS,39667,(601) 876-2122,Critical Access Hosp,Government - Local,251324,6540825,28110,WALTHALL,28147,6540825
251325,COVINGTON COUNTY HOSPITAL CAH,,331,79,310,318,701 SOUTH HOLLY AVENUE,COLLINS,MS,39428,(601) 765-6711,Critical Access Hosp,Government - Local,251325,6540165,28077,COVINGTON,28031,6540165
251326,JEFFERSON DAVIS COMMUNITY HOSPITAL CAH,,,,,,1102 ROSE STREET,PRENTISS,MS,39474,(601) 792-4276,Critical Access Hosp,Government - Local,251326,6540752,28048,JEFFERSON D,28065,6540752
251327,COPIAH COUNTY MEDICAL CENTER,,,,,,21790 HIGHWAY 28,HAZLEHURST,MS,39083,(601) 574-7000,Critical Access Hosp,Government - Local,251327,6540332,28061,COPIAH,28029,6540332
251329,GREENE COUNTY HOSPITAL CAH,,,,,,1017 JACKSON STREET,LEAKESVILLE,MS,39451,(601) 394-4135,Critical Access Hosp,Government - Local,251329,6540030,28054,GREENE,28041,6540030
251330,FRANKLIN COUNTY MEMORIAL HOSPITAL,,234,248,263,209,40 UNION CHURCH RD,MEADVILLE,MS,39653,(601) 384-5801,Critical Access Hosp,Government - Local,251330,6540505,28081,FRANKLIN,28037,6540505
251331,BMH-CALHOUN,,,,,,140 BURKE-CALHOUN CITY ROAD,CALHOUN CITY,MS,38916,(662) 628-6611,Critical Access Hosp,Voluntary non-profit - Private,251331,6540116,28118,CALHOUN,28013,6540116
251333,PEARL RIVER COUNTY HOSPITAL & NURSING HOME,,180,131,89,98,305 WEST MOODY STREET,POPLARVILLE,MS,39470,(601) 795-4543,Critical Access Hosp,Government - Local,251333,6549170,28007,PEARL RIVER,28109,6549170
251334,CHOCTAW REGIONAL MEDICAL CENTER,,,,,,8613 MS HWY 12,ACKERMAN,MS,39735,(662) 285-4400,Critical Access Hosp,Government - Local,251334,6540015,28098,CHOCTAW,28019,6540015
251335,JOHN C STENNIS MEMORIAL HOSPITAL,,,,,,14365 HIGHWAY 16 WEST,DE KALB,MS,39328,(769) 486-1000,Critical Access Hosp,Voluntary non-profit - Private,251335,6549241,28122,KEMPER,28069,6549241
251336,BAPTIST MEDICAL CENTER-ATTALA,,,,,,220 HWY 12 WEST,KOSCIUSKO,MS,39090,(662) 289-4311,Critical Access Hosp,Voluntary non-profit - Other,251336,6540420,28001,ATTALA,28007,6540420
